step,intersection_id,phase,total_queue_length,avg_waiting_time
176,INT_01,EW_GREEN,3,6.818181818181818
176,INT_02,EW_GREEN,0,3.761904761904762
177,INT_01,EW_GREEN,3,6.818181818181818
177,INT_02,EW_GREEN,0,3.761904761904762
178,INT_01,EW_GREEN,4,6.818181818181818
178,INT_02,EW_GREEN,0,3.761904761904762
179,INT_01,EW_GREEN,5,6.818181818181818
179,INT_02,EW_GREEN,0,3.703125
180,INT_01,NS_GREEN,4,6.982142857142857
180,INT_02,NS_GREEN,0,3.703125
181,INT_01,NS_GREEN,2,7.103448275862069
181,INT_02,NS_GREEN,0,3.646153846153846
182,INT_01,NS_GREEN,2,7.103448275862069
182,INT_02,NS_GREEN,0,3.590909090909091
183,INT_01,NS_GREEN,2,7.103448275862069
183,INT_02,NS_GREEN,0,3.590909090909091
184,INT_01,NS_GREEN,3,7.103448275862069
184,INT_02,NS_GREEN,0,3.537313432835821
185,INT_01,NS_GREEN,3,7.103448275862069
185,INT_02,NS_GREEN,1,3.537313432835821
186,INT_01,NS_GREEN,4,7.11864406779661
186,INT_02,NS_GREEN,2,3.537313432835821
187,INT_01,NS_GREEN,3,7.016393442622951
187,INT_02,NS_GREEN,2,3.5
188,INT_01,NS_GREEN,2,6.857142857142857
188,INT_02,NS_GREEN,2,3.5
189,INT_01,NS_GREEN,1,6.796875
189,INT_02,NS_GREEN,2,3.449275362318841
190,INT_01,NS_GREEN,1,6.796875
190,INT_02,EW_GREEN,0,3.464788732394366
191,INT_01,NS_GREEN,2,6.796875
191,INT_02,EW_GREEN,0,3.464788732394366
192,INT_01,NS_GREEN,2,6.796875
192,INT_02,EW_GREEN,0,3.464788732394366
193,INT_01,NS_GREEN,2,6.6923076923076925
193,INT_02,EW_GREEN,0,3.4166666666666665
194,INT_01,NS_GREEN,3,6.6923076923076925
194,INT_02,EW_GREEN,0,3.4166666666666665
195,INT_01,EW_GREEN,4,6.6923076923076925
195,INT_02,EW_GREEN,0,3.4166666666666665
196,INT_01,EW_GREEN,3,6.742424242424242
196,INT_02,EW_GREEN,0,3.4166666666666665
197,INT_01,EW_GREEN,2,6.731343283582089
197,INT_02,EW_GREEN,0,3.4166666666666665
198,INT_01,EW_GREEN,3,6.731343283582089
198,INT_02,EW_GREEN,0,3.4166666666666665
199,INT_01,EW_GREEN,3,6.731343283582089
199,INT_02,EW_GREEN,0,3.4166666666666665
200,INT_01,EW_GREEN,2,6.661764705882353
200,INT_02,NS_GREEN,0,3.4166666666666665
